 

stn;time;tre200s0;ure200s0
BER;202305061910;16.0;75.1
BER;202305061920;15.7;75.5
BER;202305061930;15.0;76.4
BER;202305061940;15.2;73.8
BER;202305061950;15.0;73.4
BER;202305062000;15.0;71.9
BER;202305062010;14.8;74.0
BER;202305062020;14.5;77.1
BER;202305062030;14.4;78.3
BER;202305062040;14.5;77.9
BER;202305062050;14.4;79.4
BER;202305062100;14.1;81.5
BER;202305062110;14.0;81.1
BER;202305062120;14.0;80.9
BER;202305062130;13.7;82.8
BER;202305062140;13.9;81.5
BER;202305062150;13.9;81.4
BER;202305062200;13.9;81.0
BER;202305062210;13.4;83.6
BER;202305062220;13.8;82.2
BER;202305062230;13.4;84.4
BER;202305062240;13.6;82.7
BER;202305062250;13.4;84.0
BER;202305062300;13.5;83.8
BER;202305062310;13.1;84.9
BER;202305062320;13.2;83.6
BER;202305062330;12.8;85.6
BER;202305062340;13.2;82.5
BER;202305062350;12.8;84.8
BER;202305070000;12.8;84.8
BER;202305070010;12.8;84.3
BER;202305070020;12.8;83.7
BER;202305070030;12.5;84.9
BER;202305070040;12.7;82.9
